Target,1,2,3,4,5, 6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
DRE,KIM,PSA,PLD,AVB,BXP,SPG,FE,ESS,EXR,AAL,IRM,MAA,OTIS,AMT,NI,VICI,ZION,CZR,VNO,HST
DD,AMAT,DHR,APH,TEL,HPQ,CDW,ROK,TER,MSFT,IEX,CE,KLAC,MHK,AVGO,SHW,GLW,ALB,BSX,SWKS,LIN
DXC,CTSH,IBM,PTC,CSGP,J,ADP,NOW,TDY,ANET,ZBRA,EPAM,MSI,CTXS,ACN,LUMN,FIS,EMR,ORCL,VRSK,ROP
EMN,DOW,AVY,LYB,DOV,LIN,APD,WAT,CE,EMR,AMCR,GWW,SWK,NDSN,ECL,PH,FTV,ORLY,MPC,EPAM,ABC
ETN,JCI,HON,GE,TDG,MMM,LIN,EMR,NOC,BWA,IR,PWR,SLB,TEL,TT,LMT,APTV,EXPD,ROK,GD,NEE
EBAY,ETSY,PYPL,EXPE,GOOG,GOOGL,CSGP,BKNG,MA,AMZN,DFS,DISH,FLT,CFG,CPRT,DAL,KMX,VZ,NWS,NWSA,TTWO
ECL,TMO,BIO,TECH,AOS,CAH,EMR,BAX,PKI,PNR,CLX,LIN,GWW,PFE,MAS,EMN,TT,WAT,JNJ,STE,FTV
EIX,FE,NRG,EVRG,NI,PNW,DTE,PPL,WEC,SRE,D,ES,ED,NEE,PEG,DUK,AWK,SO,ATO,CMS,ETR
EW,MDT,ABMD,BMY,REGN,TFX,ISRG,WST,ZBH,BAX,GILD,BSX,AMGN,ABBV,OGN,BIIB,PFE,COO,BDX,ALGN,HOLX
EA,TTWO,ATVI,CPRT,NVDA,HAS,NFLX,WDC,GOOG,GOOGL,AMZN,ADBE,GRMN,ZBRA,INTC,DISH,ANET,MSFT,NWSA,NWS,DIS
LLY,GILD,PFE,ABBV,DXCM,ABT,BMY,MRK,HOLX,WST,WBA,REGN,AMGN,CTLT,TECH,ABC,VTRS,OGN,INCY,LH,BIIB
EMR,LIN,TT,SWK,GWW,IR,JCI,AOS,J,WAT,ANET,AME,APD,FTV,TDY,DOV,GE,ALLE,LUMN,APTV,AVY
ENPH,SEDG,MPWR,ON,XEL,GNRC,PWR,AES,NEE,AEP,SWKS,EMR,ZBRA,LIN,TER,AOS,LUMN,EXC,ADI,QRVO,ANSS
